TransactionID,TransactionCode,TransactionTypeID,SourceAccountID,DestinationAccountID,EmployeeID,Channel,Amount,Fee,TransactionDate,Description,Status
10036,TX00010036,4,833,,44,Counter,2100000,5000,2024-01-01 00:32:27,Giao dịch thường,Success
6664,TX00006664,1,,190,10,Counter,11300000,0,2024-01-01 04:37:44,Chuyển khoản nội bộ,Success
8747,TX00008747,3,430,276,,InternetBanking,23100000,0,2024-01-01 05:38:25,Chuyển khoản nội bộ,Success
101,TX00000101,2,330,,41,Counter,7300000,7300,2024-01-01 08:17:57,Rút tiền ATM,Success
2788,TX00002788,3,464,740,33,Counter,300000,150,2024-01-01 09:51:05,Rút tiền ATM,Success
5451,TX00005451,1,,746,14,Counter,13900000,0,2024-01-01 10:13:59,Giao dịch thường,Success
5740,TX00005740,3,799,73,17,Counter,16500000,8250,2024-01-01 13:31:54,Thanh toán điện/nước/internet,Success
1635,TX00001635,3,129,73,12,Counter,9300000,4650,2024-01-01 15:31:13,Rút tiền ATM,Success
10078,TX00010078,2,262,,1,Counter,13300000,0,2024-01-01 17:48:33,Rút tiền ATM,Failed
863,TX00000863,3,262,238,2,Counter,600000,0,2024-01-01 18:10:49,Nộp tiền mặt,Success
2870,TX00002870,3,110,752,49,Counter,700000,0,2024-01-01 19:47:45,Chuyển khoản nội bộ,Success
1074,TX00001074,4,725,,47,Counter,2700000,10000,2024-01-01 20:21:51,Nộp tiền mặt,Success
1805,TX00001805,3,795,183,7,Counter,17100000,0,2024-01-02 01:11:38,Nộp tiền mặt,Success
11235,TX00011235,3,247,591,42,Counter,13500000,6750,2024-01-02 03:53:11,Giao dịch thường,Success
8495,TX00008495,3,582,715,34,Counter,400000,200,2024-01-02 04:56:34,Thanh toán điện/nước/internet,Success
6793,TX00006793,1,,555,41,Counter,4100000,0,2024-01-02 08:56:09,Rút tiền ATM,Success
746,TX00000746,3,813,419,44,Counter,200000,100,2024-01-02 12:24:06,Giao dịch thường,Success
8558,TX00008558,1,,186,11,Counter,600000,0,2024-01-02 14:54:58,Nộp tiền mặt,Success
9455,TX00009455,3,164,266,,InternetBanking,12700000,6350,2024-01-02 14:55:34,Chuyển khoản nội bộ,Success
2028,TX00002028,1,,451,13,Counter,8900000,0,2024-01-02 15:53:04,Thanh toán điện/nước/internet,Success
6466,TX00006466,2,142,,47,Counter,200000,0,2024-01-02 19:47:40,Chuyển khoản nội bộ,Success
2106,TX00002106,2,278,,22,Counter,10100000,0,2024-01-02 21:08:14,Chuyển khoản nội bộ,Success
5128,TX00005128,1,,831,,ATM,5000000,0,2024-01-02 22:55:16,Rút tiền ATM,Success
6923,TX00006923,3,165,367,36,Counter,100000,0,2024-01-03 00:02:01,Thanh toán điện/nước/internet,Success
1255,TX00001255,3,755,569,,ATM,31200000,15600,2024-01-03 00:54:35,Rút tiền ATM,Success
7926,TX00007926,3,844,431,1,Counter,1400000,700,2024-01-03 06:59:02,Thanh toán điện/nước/internet,Success
5040,TX00005040,3,171,656,3,Counter,100000,50,2024-01-03 07:10:36,Nộp tiền mặt,Success
8902,TX00008902,3,809,320,25,Counter,3500000,1750,2024-01-03 08:51:25,Rút tiền ATM,Success
210,TX00000210,3,429,42,46,Counter,1700000,850,2024-01-03 10:18:14,Rút tiền ATM,Success
2585,TX00002585,3,172,9,39,Counter,100000,50,2024-01-03 11:41:41,Chuyển khoản nội bộ,Success
1438,TX00001438,3,719,584,37,Counter,1700000,0,2024-01-03 14:18:32,Giao dịch thường,Success
9385,TX00009385,2,849,,10,Counter,400000,0,2024-01-04 00:56:11,Giao dịch thường,Success
4437,TX00004437,1,,740,11,Counter,11900000,0,2024-01-04 01:41:30,Rút tiền ATM,Success
9041,TX00009041,3,597,559,,InternetBanking,1200000,600,2024-01-04 04:15:18,Thanh toán điện/nước/internet,Success
11707,TX00011707,3,525,645,44,Counter,21100000,10550,2024-01-04 04:15:52,Thanh toán điện/nước/internet,Success
5542,TX00005542,2,464,,,InternetBanking,7800000,0,2024-01-04 04:29:02,Thanh toán điện/nước/internet,Success
2233,TX00002233,1,,439,31,Counter,6600000,0,2024-01-04 05:10:15,Thanh toán điện/nước/internet,Success
8074,TX00008074,2,67,,1,Counter,1200000,0,2024-01-04 05:16:10,Chuyển khoản nội bộ,Success
1864,TX00001864,3,123,4,,InternetBanking,3200000,1600,2024-01-04 07:28:57,Giao dịch thường,Success
11790,TX00011790,3,579,29,,InternetBanking,7600000,3800,2024-01-04 07:45:59,Thanh toán điện/nước/internet,Success
11966,TX00011966,1,,297,39,Counter,13700000,0,2024-01-04 08:50:45,Rút tiền ATM,Success
1110,TX00001110,3,815,611,,InternetBanking,600000,300,2024-01-04 09:29:34,Thanh toán điện/nước/internet,Success
975,TX00000975,3,391,208,42,Counter,38000000,19000,2024-01-04 10:45:43,Chuyển khoản nội bộ,Success
1970,TX00001970,3,39,297,26,Counter,13200000,0,2024-01-04 15:48:26,Giao dịch thường,Success
851,TX00000851,3,113,288,41,Counter,27100000,13550,2024-01-04 17:53:31,Rút tiền ATM,Success
5065,TX00005065,2,94,,36,Counter,4600000,0,2024-01-04 19:04:43,Giao dịch thường,Success
11616,TX00011616,2,534,,45,Counter,100000,100,2024-01-04 23:18:31,Nộp tiền mặt,Success
10530,TX00010530,1,,287,,InternetBanking,5500000,0,2024-01-04 23:49:29,Thanh toán điện/nước/internet,Pending
3708,TX00003708,1,,610,,InternetBanking,10200000,0,2024-01-05 01:29:49,Chuyển khoản nội bộ,Success
557,TX00000557,3,563,277,48,Counter,6500000,3250,2024-01-05 02:00:30,Rút tiền ATM,Success
